pair,open_z,close_z,stop_z,window,n_trades,win_rate,avg_pnl_pct,total_pnl_pct,avg_win_pct,avg_loss_pct,profit_factor,n_stops,avg_duration_days,sharpe_approx
AL30/GD30,1.0,0.0,none,10,0,,,,,,,,,
AL30/GD30,1.0,0.0,none,20,0,,,,,,,,,
AL30/GD30,1.0,0.0,none,40,0,,,,,,,,,
AL30/GD30,1.0,0.0,3.0,10,0,,,,,,,,,
AL30/GD30,1.0,0.0,3.0,20,3,0.0,-3.1610646558754962,-9.48319396762649,0.0,-3.1610646558754962,0.0,3.0,197.0,-4.050172901943222
AL30/GD30,1.0,0.0,3.0,40,6,33.33333333333333,-1.0027933555249617,-6.01676013314977,1.0095105325010718,-2.008945299537978,0.25125386259477583,6.0,95.0,-0.6645512907523781
AL30/GD30,1.0,0.0,4.0,10,0,,,,,,,,,
AL30/GD30,1.0,0.0,4.0,20,0,,,,,,,,,
AL30/GD30,1.0,0.0,4.0,40,4,0.0,-2.2374713997794515,-8.949885599117806,0.0,-2.2374713997794515,0.0,4.0,140.25,-2.867847596599921
AL30/GD30,1.0,0.5,none,10,70,87.14285714285714,0.48398049657334974,33.87863476013448,0.6271096661626104,-0.4861172084205286,8.743590817031212,0.0,5.9,0.8012170921527162
AL30/GD30,1.0,0.5,none,20,64,93.75,0.6400421907558489,40.96270020837433,0.7080069500838254,-0.37942919916380086,27.989686283138816,0.0,6.84375,1.1210389277227533
AL30/GD30,1.0,0.5,none,40,38,86.8421052631579,0.5418930867240594,20.59193729551426,0.7193187896428455,-0.6291165525399272,7.546302815393619,0.0,10.236842105263158,0.8159356273401411
AL30/GD30,1.0,0.5,3.0,10,70,87.14285714285714,0.48398049657334974,33.87863476013448,0.6271096661626104,-0.4861172084205286,8.743590817031212,0.0,5.9,0.8012170921527162
AL30/GD30,1.0,0.5,3.0,20,67,92.53731343283582,0.5943112014514136,39.81885049724471,0.738292249152482,-1.1910537900418348,7.686322789140549,3.0,6.492537313432836,0.7449056303786205
AL30/GD30,1.0,0.5,3.0,40,44,79.54545454545455,0.3753172680304626,16.513959793340355,0.8268832705128474,-1.380772741623256,2.3288822745190823,6.0,8.613636363636363,0.3257626512563333
AL30/GD30,1.0,0.5,4.0,10,70,87.14285714285714,0.48398049657334974,33.87863476013448,0.6271096661626104,-0.4861172084205286,8.743590817031212,0.0,5.9,0.8012170921527162
AL30/GD30,1.0,0.5,4.0,20,64,93.75,0.6400421907558489,40.96270020837433,0.7080069500838254,-0.37942919916380086,27.989686283138816,0.0,6.84375,1.1210389277227533
AL30/GD30,1.0,0.5,4.0,40,42,80.95238095238095,0.38509298604755554,16.173905413997332,0.7816658895421408,-1.3003418538044316,2.554774362476017,4.0,9.166666666666666,0.3796724425874376
AL30/GD30,1.5,0.0,none,10,0,,,,,,,,,
AL30/GD30,1.5,0.0,none,20,0,,,,,,,,,
AL30/GD30,1.5,0.0,none,40,0,,,,,,,,,
AL30/GD30,1.5,0.0,3.0,10,0,,,,,,,,,
AL30/GD30,1.5,0.0,3.0,20,3,0.0,-2.9053958551000925,-8.716187565300277,0.0,-2.9053958551000925,0.0,3.0,195.0,-6.094728974171436
AL30/GD30,1.5,0.0,3.0,40,6,33.33333333333333,-0.4630633711568279,-2.778380226940967,2.1502743300956766,-1.7697322217830802,0.6075140361995511,6.0,86.83333333333333,-0.2360394017186388
AL30/GD30,1.5,0.0,4.0,10,0,,,,,,,,,
AL30/GD30,1.5,0.0,4.0,20,0,,,,,,,,,
AL30/GD30,1.5,0.0,4.0,40,4,0.0,-1.7189146221430487,-6.875658488572195,0.0,-1.7189146221430487,0.0,4.0,128.25,-1.9398105695796142
AL30/GD30,1.5,0.5,none,10,45,80.0,0.6498979824435628,29.245409209960325,0.9256053548047204,-0.4529315070010682,8.174351666840764,0.0,6.355555555555555,0.719771187689367
AL30/GD30,1.5,0.5,none,20,39,89.74358974358975,0.7654271787284286,29.851659970408715,0.8962679076303977,-0.37942919916380086,20.668794623737995,0.0,8.23076923076923,1.0578695341658766
AL30/GD30,1.5,0.5,none,40,22,81.81818181818183,0.4652175526497853,10.234786158295277,0.6736758238530133,-0.4728446677647406,6.411283480618364,0.0,13.409090909090908,0.8730323167307643
AL30/GD30,1.5,0.5,3.0,10,45,80.0,0.6498979824435628,29.245409209960325,0.9256053548047204,-0.4529315070010682,8.174351666840764,0.0,6.355555555555555,0.719771187689367
AL30/GD30,1.5,0.5,3.0,20,42,88.09523809523809,0.6835192918875976,28.7078102592791,0.9368399786348182,-1.1910537900418348,5.820573260300992,3.0,7.571428571428571,0.6764867666746138
AL30/GD30,1.5,0.5,3.0,40,27,70.37037037037037,0.2369858930311631,6.398619111841404,0.9248089313057914,-1.396593822871079,1.5726986442886537,6.0,10.333333333333334,0.1796444138596139
AL30/GD30,1.5,0.5,4.0,10,45,80.0,0.6498979824435628,29.245409209960325,0.9256053548047204,-0.4529315070010682,8.174351666840764,0.0,6.355555555555555,0.719771187689367
AL30/GD30,1.5,0.5,4.0,20,39,89.74358974358975,0.7654271787284286,29.851659970408715,0.8962679076303977,-0.37942919916380086,20.668794623737995,0.0,8.23076923076923,1.0578695341658766
AL30/GD30,1.5,0.5,4.0,40,25,72.0,0.19555392736806382,4.888848184201596,0.7798543846109098,-1.3069329626849686,1.5343861570547281,4.0,11.44,0.1764453433115671
AL30/GD30,1.5,1.0,none,10,58,87.93103448275862,0.5502932393321531,31.91700788126488,0.6934697099095221,-0.4928496177315343,10.251447886787457,0.0,3.0,0.7626772768495883
